init_date,forecast_date,geography_polygon,temperature,precipitation,wind_speed
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.375, 40.625], [-76.375, 40.875], [-76.625, 40.875], [-76.625, 40.625], [-76.375, 40.625] ] ] } ",273.0048828125,9.2990987468510866e-05,4.3814813883062254
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.625, 41.125], [-77.625, 41.375], [-77.875, 41.375], [-77.875, 41.125], [-77.625, 41.125] ] ] } ",270.33016967773438,9.6793693955987692e-05,4.947182778194775
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.625, 40.875], [-77.625, 41.125], [-77.875, 41.125], [-77.875, 40.875], [-77.625, 40.875] ] ] } ",270.7061767578125,9.6793693955987692e-05,4.9497072014848227
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.125, 41.125], [-75.125, 41.375], [-75.375, 41.375], [-75.375, 41.125], [-75.125, 41.125] ] ] } ",272.03836059570312,9.6793693955987692e-05,4.5717063840370971
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.375, 41.625], [-77.375, 41.875], [-77.625, 41.875], [-77.625, 41.625], [-77.375, 41.625] ] ] } ",270.02166748046875,9.6793693955987692e-05,5.03723158918728
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-74.875, 41.375], [-74.875, 41.625], [-75.125, 41.625], [-75.125, 41.375], [-74.875, 41.375] ] ] } ",273.03530883789062,0.00010059640044346452,4.1676901962012112
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.875, 41.375], [-76.875, 41.625], [-77.125, 41.625], [-77.125, 41.375], [-76.875, 41.375] ] ] } ",271.25173950195312,0.00010059640044346452,4.421563076157752
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.625, 41.375], [-77.625, 41.625], [-77.875, 41.625], [-77.875, 41.375], [-77.625, 41.375] ] ] } ",270.06695556640625,0.00010059640044346452,4.8391635657473939
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.625, 40.625], [-77.625, 40.875], [-77.875, 40.875], [-77.875, 40.625], [-77.625, 40.625] ] ] } ",271.37228393554688,0.00010059640044346452,4.8595005281544719
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 39.625], [-76.625, 39.875], [-76.875, 39.875], [-76.875, 39.625], [-76.625, 39.625] ] ] } ",274.9871826171875,0.00010059640044346452,4.8765724129415746
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.375, 40.875], [-77.375, 41.125], [-77.625, 41.125], [-77.625, 40.875], [-77.375, 40.875] ] ] } ",270.97579956054688,0.00010059640044346452,4.79805472938084
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.625, 40.875], [-75.625, 41.125], [-75.875, 41.125], [-75.875, 40.875], [-75.625, 40.875] ] ] } ",271.58099365234375,0.00010439910693094134,4.3465617240776151
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.625, 40.125], [-77.625, 40.375], [-77.875, 40.375], [-77.875, 40.125], [-77.625, 40.125] ] ] } ",272.65557861328125,0.00010820181341841817,4.875080862065
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.625, 40.375], [-77.625, 40.625], [-77.875, 40.625], [-77.875, 40.375], [-77.625, 40.375] ] ] } ",272.56658935546875,0.00010820181341841817,4.819573304720989
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.375, 41.125], [-75.375, 41.375], [-75.625, 41.375], [-75.625, 41.125], [-75.375, 41.125] ] ] } ",271.12014770507812,0.000112004519905895,4.4764479643737127
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-78.125, 39.625], [-78.125, 39.875], [-78.375, 39.875], [-78.375, 39.625], [-78.125, 39.625] ] ] } ",274.00662231445312,0.000112004519905895,5.0847403728972047
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.875, 41.625], [-76.875, 41.875], [-77.125, 41.875], [-77.125, 41.625], [-76.875, 41.625] ] ] } ",271.24893188476562,0.00011580722639337182,4.486441786843165
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-78.375, 39.625], [-78.375, 39.875], [-78.625, 39.875], [-78.625, 39.625], [-78.375, 39.625] ] ] } ",272.7496337890625,0.00011580722639337182,5.1200944139244875
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.125, 41.625], [-77.125, 41.875], [-77.375, 41.875], [-77.375, 41.625], [-77.125, 41.625] ] ] } ",270.87310791015625,0.00011960993288084865,4.5616108457958573
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 41.625], [-76.625, 41.875], [-76.875, 41.875], [-76.875, 41.625], [-76.625, 41.625] ] ] } ",271.93975830078125,0.00011960993288084865,4.3703216551927211
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.875, 41.125], [-77.875, 41.375], [-78.125, 41.375], [-78.125, 41.125], [-77.875, 41.125] ] ] } ",270.49063110351562,0.00011960993288084865,4.93101752186833
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.375, 41.875], [-77.375, 42.125], [-77.625, 42.125], [-77.625, 41.875], [-77.375, 41.875] ] ] } ",270.6910400390625,0.00012341263936832547,4.8993699971973719
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.875, 40.875], [-75.875, 41.125], [-76.125, 41.125], [-76.125, 40.875], [-75.875, 40.875] ] ] } ",271.96969604492188,0.00012341263936832547,4.181168939955799
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.125, 41.125], [-76.125, 41.375], [-76.375, 41.375], [-76.375, 41.125], [-76.125, 41.125] ] ] } ",272.25494384765625,0.00012341263936832547,4.0883335806398149
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.125, 41.375], [-75.125, 41.625], [-75.375, 41.625], [-75.375, 41.375], [-75.125, 41.375] ] ] } ",272.488037109375,0.0001272153458558023,4.2246820846451669
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 41.125], [-76.625, 41.375], [-76.875, 41.375], [-76.875, 41.125], [-76.625, 41.125] ] ] } ",272.93222045898438,0.00013101805234327912,3.9748073723900736
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.375, 40.875], [-76.375, 41.125], [-76.625, 41.125], [-76.625, 40.875], [-76.375, 40.875] ] ] } ",273.45135498046875,0.00013482075883075595,4.0055473414425879
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.875, 40.625], [-77.875, 40.875], [-78.125, 40.875], [-78.125, 40.625], [-77.875, 40.625] ] ] } ",270.91281127929688,0.00013482075883075595,4.9843052527496718
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.875, 41.125], [-75.875, 41.375], [-76.125, 41.375], [-76.125, 41.125], [-75.875, 41.125] ] ] } ",272.56234741210938,0.00013482075883075595,4.1174844319429642
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.125, 40.875], [-76.125, 41.125], [-76.375, 41.125], [-76.375, 40.875], [-76.125, 40.875] ] ] } ",272.81771850585938,0.00013482075883075595,4.1616025330933644
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.875, 40.875], [-77.875, 41.125], [-78.125, 41.125], [-78.125, 40.875], [-77.875, 40.875] ] ] } ",269.98922729492188,0.00013482075883075595,5.1546829738822524
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.875, 39.875], [-77.875, 40.125], [-78.125, 40.125], [-78.125, 39.875], [-77.875, 39.875] ] ] } ",273.10977172851562,0.00013862346531823277,4.9178710770809184
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-78.125, 39.875], [-78.125, 40.125], [-78.375, 40.125], [-78.375, 39.875], [-78.125, 39.875] ] ] } ",272.39254760742188,0.00014242620090954006,4.8782321469243994
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.875, 41.375], [-77.875, 41.625], [-78.125, 41.625], [-78.125, 41.375], [-77.875, 41.375] ] ] } ",269.95236206054688,0.00014242620090954006,4.784505920916275
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.875, 40.125], [-77.875, 40.375], [-78.125, 40.375], [-78.125, 40.125], [-77.875, 40.125] ] ] } ",272.47714233398438,0.00014622890739701688,4.8350752526307579
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.625, 41.625], [-77.625, 41.875], [-77.875, 41.875], [-77.875, 41.625], [-77.625, 41.625] ] ] } ",269.0123291015625,0.00014622890739701688,4.9593824058449085
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.875, 40.375], [-77.875, 40.625], [-78.125, 40.625], [-78.125, 40.375], [-77.875, 40.375] ] ] } ",272.15313720703125,0.00014622890739701688,4.8637438405888265
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.875, 41.375], [-75.875, 41.625], [-76.125, 41.625], [-76.125, 41.375], [-75.875, 41.375] ] ] } ",272.85101318359375,0.00015003161388449371,4.077258503929702
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.875, 41.875], [-76.875, 42.125], [-77.125, 42.125], [-77.125, 41.875], [-76.875, 41.875] ] ] } ",271.9564208984375,0.00015003161388449371,4.445554511169802
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.375, 41.625], [-76.375, 41.875], [-76.625, 41.875], [-76.625, 41.625], [-76.375, 41.625] ] ] } ",272.57424926757812,0.00015383432037197053,4.0978663298588875
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 41.875], [-76.625, 42.125], [-76.875, 42.125], [-76.875, 41.875], [-76.625, 41.875] ] ] } ",272.29815673828125,0.00015383432037197053,4.4041302410226235
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.125, 41.625], [-75.125, 41.875], [-75.375, 41.875], [-75.375, 41.625], [-75.125, 41.625] ] ] } ",272.12149047851562,0.00015383432037197053,4.3941944985629533
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 41.375], [-76.625, 41.625], [-76.875, 41.625], [-76.875, 41.375], [-76.625, 41.375] ] ] } ",270.93875122070312,0.00015383432037197053,4.1952746101077851
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-78.375, 39.875], [-78.375, 40.125], [-78.625, 40.125], [-78.625, 39.875], [-78.375, 39.875] ] ] } ",272.0040283203125,0.00015763702685944736,4.9668594765448741
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-78.125, 41.375], [-78.125, 41.625], [-78.375, 41.625], [-78.375, 41.375], [-78.125, 41.375] ] ] } ",270.05630493164062,0.00016904514632187784,4.8916189462661128
